Participant ID,Trial,Timestamp,Hue,Saturation,Value,Path,Timbre Class,Mode,Volume,Tempo,Rhythmic Regularity,Dynamic Variation,Trial Duration,Confidence,Comments
18069301,12,2023-02-27 18:38:53.537 UTC,75,0.8,1,M503.224 25.171C483.513 4.698 367.731 137.707 367.731 137.707C367.731 137.707 245.971 95.354 162.804 66.425C145.273 60.326 125.872 63.113 110.766 73.9C95.66 84.686 86.726 102.132 86.804 120.694C87.285 231.814 90.634 419.906 107.688 433.517C132.003 452.922 290.718 291.048 290.718 291.048C338.103 305.473 389.428 350.258 441.496 383.293C457.567 393.473 477.915 394.063 494.549 384.831C511.182 375.599 521.446 358.02 521.309 338.996C520.496 228.043 517.067 39.548 503.224 25.171Z,Woodwind,Chromatic,Quiet,Slow,Regular,0,101364,Slightly Confident,
18069301,13,2023-02-27 18:40:34.902 UTC,190,0.481012658,0.9875,M158.908 133.606C259.852 101.318 362.932 102.752 467.857 133.289L467.693 198.587C438.868 202.607 421.009 215.022 423.583 243.077C428.838 263.31 440.442 272.345 455.865 274.648C406.076 295.26 380.338 320.198 380.88 349.862C332.727 384.998 291.914 379.858 255.555 350.266C253.487 301.947 283.823 273.664 342.639 262.991C299.114 233.299 248.974 237.263 194.5 263.277C188.963 255.356 189.947 247.012 218.835 236.864C195.306 213.56 172.09 217.291 149.072 238.209C120.776 196.421 132.269 163.354 158.908 133.606Z,Bowed Strings,Major,Quiet,Moderate,Irregular,0.67,98623,Confident,
18069301,14,2023-02-27 18:42:13.526 UTC,45,1,1,M175.267 51.473L411.389 39.137L533.261 122.115L514.316 229.874L530.917 352.26L364.057 418.327L223.356 274.307L53.024 206.257L175.267 51.473Z,Plucked Strings,Natural Minor,Loud,Fast,Regular,0,108538,Confident,
18069301,15,2023-02-27 18:44:02.065 UTC,275,0.8,1,M510.535 142.605C490.824 122.133 370.926 186.166 370.926 186.166C370.926 186.166 234.914 166.311 151.91 154.195C135.569 151.809 118.995 156.601 106.449 167.339C93.903 178.077 86.609 193.713 86.443 210.226C86.005 252.838 88.497 302.509 101.852 313.168C126.168 332.573 291.877 252.141 291.877 252.141C345.28 268.398 400.095 283.302 457.104 296.103C472.122 299.431 487.844 295.934 500.036 286.555C512.229 277.175 519.64 262.876 520.274 247.506C522.036 205.078 521.614 154.113 510.535 142.605Z,Percussion,Chromatic,Medium,Moderate,Regular,0,87820,Confident,
10613092,1,2023-03-07 17:55:05:433 UTC,0,1,1,M106.654 110.435C106.654 110.435 456.747 -47.396 455.943 109.688C455.14 266.773 480.039 180.538 509.491 206.445C538.944 232.351 640.551 315.87 536.435 408.902C432.319 501.934 497.921 377.873 434.079 412.144C370.237 446.416 301.408 358.91 350.369 338.856C399.329 318.802 437.909 223.124 371.659 219.106C305.409 215.087 269.628 141.91 209.53 203.144C149.431 264.378 261.263 257.502 202.883 302.974C144.502 348.446 107.222 445.868 82.924 381.81C58.625 317.752 7.304 243.941 40.423 216.839C73.541 189.738 0.911 105.648 106.654 110.435Z,Brass,Major,Loud,Fast,Syncopated,0,91265,Slightly Unsure,
10613092,2,2023-03-07 17:56:36:698 UTC,80,0.18181818,0.44,M518.139 372.166C567.198 349.878 570.102 312.547 549.83 267.662C578.69 68.71 493.791 4.145 312.382 53.592C153.501 8.489 64.716 65.003 76.741 267.662C56.444 313.163 65.201 348.623 108.432 372.166C243.606 413.49 380.094 415.91 518.139 372.166Z,Plucked Strings,Natural Minor,Medium,Fast,Regular,0.67,94410,Very Unsure,
10613092,3,2023-03-07 17:58:11:109 UTC,0,0.18181818,0.55,M106.654 110.435C106.654 110.435 456.747 -47.396 455.943 109.688C455.14 266.773 480.039 180.538 509.491 206.445C538.944 232.351 640.551 315.87 536.435 408.902C432.319 501.934 497.921 377.873 434.079 412.144C370.237 446.416 301.408 358.91 350.369 338.856C399.329 318.802 437.909 223.124 371.659 219.106C305.409 215.087 269.628 141.91 209.53 203.144C149.431 264.378 261.263 257.502 202.883 302.974C144.502 348.446 107.222 445.868 82.924 381.81C58.625 317.752 7.304 243.941 40.423 216.839C73.541 189.738 0.911 105.648 106.654 110.435Z,Percussion,Minor Pentatonic,Medium,Moderate,Syncopated,0,92235,Unsure,
10613092,4,2023-03-07 17:59:43:345 UTC,190,0.88888888,0.9,M66.073 65.693L555.305 65.693L555.305 170.597L485.886 240.015L536.341 290.47L417.532 409.278L219.732 409.278L357.63 271.381L121.201 271.381L161.854 230.728L50.241 230.728L66.073 65.693Z,Woodwind,Major,Medium,Moderate,Irregular,0.33,104495,Very Confident,
10613092,5,2023-03-07 18:01:27:841 UTC,80,0.18181818,0.55,M518.139 372.166C538.9 340.393 549.83 304.35 549.83 267.662C549.83 152.307 413.93 86.748 312.382 53.592C198.107 90.161 76.741 152.307 76.741 267.662C76.741 304.35 87.67 340.393 108.432 372.166C237.704 406.387 374.244 406.618 518.139 372.166Z,Plucked Strings,Chromatic,Medium,Moderate,Regular,0.67,103002,Slightly Confident,
10613092,6,2023-03-07 18:03:10:843 UTC,15,1,1,M175.267 51.473C219.079 42.219 259.603 139.625 315.894 150.733C375.56 162.507 500.19 108.925 533.261 122.115C566.331 135.306 514.687 193.406 514.316 229.874C513.925 268.232 555.96 320.852 530.917 352.26C505.874 383.669 415.317 431.319 364.057 418.327C312.797 405.335 275.195 309.652 223.356 274.307C172.839 239.864 61.038 243.396 53.024 206.257C45.009 169.118 131.455 60.727 175.267 51.473Z,Brass,Major,Loud,Fast,Irregular,0.67,88780,Slightly Unsure,
